date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2025-02-14,185.06,186.4,184.32,185.23,185.02,20448437,20448437,0.175,0.0918621,185.2525,"February 14, 25",0.000918621
2025-02-18,185.6,185.96,181.74,183.77,183.56,29916700,29916700,-1.83,-0.98599,184.2675,"February 18, 25",-0.0098599
2025-02-19,184.07,185.46,183.59,185.27,185.06,19549400,19549400,1.2,0.65193,184.5975,"February 19, 25",0.0065193
2025-02-20,184.8,185.31,182.72,184.56,184.35,20441500,20441500,-0.24,-0.12987,184.3475,"February 20, 25",-0.0012987
2025-02-21,185.15,185.34,179.08,179.66,179.45,35199239,35199239,-5.49,-2.97,182.3075,"February 21, 25",-0.0297
2025-02-24,181.99,183.12,178.89,179.25,179.04,29854206,29854206,-2.74,-1.51,180.8125,"February 24, 25",-0.0151
2025-02-25,178.04,178.74,174.69,175.42,175.22,41913411,41913411,-2.62,-1.47,176.7225,"February 25, 25",-0.0147
2025-02-26,175.07,176.08,171.58,172.73,172.53,35431300,35431300,-2.34,-1.34,173.865,"February 26, 25",-0.0134
2025-02-27,173.99,174.56,167.94,168.5,168.31,39991015,39991015,-5.49,-3.16,171.2475,"February 27, 25",-0.0316
2025-02-28,168.68,170.61,166.77,170.28,170.08,48130600,48130600,1.6,0.94854,169.085,"February 28, 25",0.0094854
2025-03-03,171.93,173.37,165.93,167.01,166.82,40770500,40770500,-4.92,-2.86,169.56,"March 03, 25",-0.0286
2025-03-04,166.24,173.29,165.8,170.92,170.72,45388000,45388000,4.68,2.82,169.0625,"March 04, 25",0.0282
2025-03-05,170.52,173.78,169.06,173.02,172.82,30954922,30954922,2.5,1.47,171.595,"March 05, 25",0.0147
2025-03-06,170.53,174.81,170.5,172.35,172.15,28302000,28302000,1.82,1.07,172.0475,"March 06, 25",0.0107
2025-03-07,171.26,174.97,170.27,173.86,173.66,27385813,27385813,2.6,1.52,172.59,"March 07, 25",0.0152
2025-03-10,168.26,168.46,163.69,165.87,165.87,43604027,43604027,-2.39,-1.42,166.57,"March 10, 25",-0.0142
2025-03-11,164.91,166.75,161.37,164.04,164.04,39587414,39587414,-0.87,-0.52756,164.2675,"March 11, 25",-0.0052756
2025-03-12,166.58,167.64,163.53,167.11,167.11,28372400,28372400,0.53,0.31817,166.215,"March 12, 25",0.0031817
2025-03-13,166.04,166.13,162.11,162.76,162.76,31756214,31756214,-3.28,-1.98,164.26,"March 13, 25",-0.0198
2025-03-14,163.27,166.49,162.45,165.49,165.49,31995900,31995900,2.22,1.36,164.425,"March 14, 25",0.0136
2025-03-17,165.03,166.3,163.67,164.29,164.29,31184335,31184335,-0.74,-0.4484,164.8225,"March 17, 25",-0.004484
2025-03-18,163.68,164.25,156.72,160.67,160.67,42074800,42074800,-3.01,-1.84,161.33,"March 18, 25",-0.0184
2025-03-19,161.76,165.87,161.0,163.89,163.89,34275600,34275600,2.13,1.32,163.13,"March 19, 25",0.0132
2025-03-20,161.57,164.89,160.96,162.8,162.8,28138500,28138500,1.23,0.76128,162.555,"March 20, 25",0.0076128
2025-03-21,161.21,164.24,160.89,163.99,163.99,36625800,36625800,2.78,1.72,162.5825,"March 21, 25",0.0172
2025-03-24,167.07,168.32,165.14,167.68,167.68,30879129,30879129,0.615,0.36512,167.0525,"March 24, 25",0.0036512
2025-03-25,168.98,170.63,168.32,170.56,170.56,24174400,24174400,1.58,0.93502,169.6225,"March 25, 25",0.0093502
2025-03-26,169.0,169.61,164.84,165.06,165.06,28939326,28939326,-3.94,-2.33,167.1275,"March 26, 25",-0.0233
2025-03-27,164.63,165.42,162.0,162.24,162.24,24508300,24508300,-2.39,-1.45,163.5725,"March 27, 25",-0.0145
2025-03-28,160.49,161.82,153.63,154.33,154.33,48669335,48669335,-6.16,-3.84,157.5675,"March 28, 25",-0.0384
2025-03-31,153.11,155.54,150.66,154.64,154.64,54603500,54603500,1.53,0.99928,153.4875,"March 31, 25",0.0099928
2025-04-01,153.62,158.1,153.62,157.07,157.07,30601491,30601491,3.45,2.25,155.6025,"April 01, 25",0.0225
